Rank,Frequency,Dispersion,Word,Part of Speech
934,45673,0.87,cultural,adjective
935,42542,0.94,contain,verb
936,42273,0.94,peace,noun
937,41658,0.95,head,verb
938,41771,0.95,control,verb
939,41154,0.96,base,noun
940,41350,0.96,pain,noun
941,42391,0.93,apply,verb
942,41662,0.95,play,noun
943,43938,0.90,measure,noun
944,41233,0.96,wide,adjective
945,45160,0.87,shake,verb
946,41373,0.95,fly,verb
947,41594,0.95,interview,noun
948,40536,0.97,manage,verb
949,43256,0.91,chair,noun
950,41488,0.95,fish,noun
951,42291,0.93,particular,adjective
952,41218,0.95,camera,noun
953,43638,0.90,structure,noun
954,41758,0.94,politics,noun
955,41667,0.94,perform,verb
956,41915,0.93,bit,noun
957,41919,0.93,weight,noun
958,43382,0.90,suddenly,adverb
959,40489,0.97,discover,verb
960,43251,0.90,candidate,noun
961,41484,0.94,top,adjective
962,42052,0.93,production,noun
963,40264,0.97,treat,verb
964,40423,0.96,trip,noun
965,40881,0.95,evening,noun
966,41496,0.93,affect,verb
967,40856,0.95,inside,preposition
968,40643,0.95,conference,noun
969,41087,0.94,unit,noun
970,39959,0.97,best,adverb
971,40889,0.94,style,noun
972,40705,0.95,adult,noun
973,40210,0.96,worry,verb
974,41326,0.93,range,noun
975,39815,0.97,mention,verb
976,41558,0.93,rather,preposition
977,39967,0.96,far,adjective
978,40126,0.96,deep,adjective
979,39559,0.97,past,noun
980,40960,0.94,edge,noun
981,42325,0.90,individual,adjective
982,42397,0.90,specific,adjective
983,39666,0.96,writer,noun
984,39659,0.96,trouble,noun
985,40776,0.93,necessary,adjective
986,40170,0.95,throughout,preposition
987,40380,0.94,challenge,noun
988,38857,0.98,fear,noun
989,42843,0.89,shoulder,noun
990,42153,0.90,institution,noun
991,40402,0.94,middle,adjective
992,39516,0.96,sea,noun
993,39613,0.96,dream,noun
994,39853,0.95,bar,noun
995,40052,0.94,beautiful,adjective
996,40027,0.94,property,noun
997,39051,0.97,instead,adverb
998,40214,0.94,improve,verb
999,40180,0.94,stuff,noun
1000,38750,0.97,detail,noun
